,nombre_archivo,dimension,extension,categoria,ancho,alto
193,1180.jpg,"(500, 476)",JPEG,birds,500,476
194,1181.jpg,"(300, 450)",JPEG,birds,300,450
195,1182.jpg,"(500, 390)",JPEG,birds,500,390
196,1183.jpg,"(500, 393)",JPEG,birds,500,393
197,1184.jpg,"(420, 280)",JPEG,birds,420,280
198,1185.jpg,"(458, 500)",JPEG,birds,458,500
199,1186.jpg,"(370, 500)",JPEG,birds,370,500
200,1187.jpg,"(500, 320)",JPEG,birds,500,320
201,1188.jpg,"(500, 463)",JPEG,birds,500,463
202,1189.jpg,"(500, 367)",JPEG,birds,500,367
203,119.jpg,"(500, 241)",JPEG,birds,500,241
204,1190.jpg,"(500, 333)",JPEG,birds,500,333
205,1191.jpg,"(500, 333)",JPEG,birds,500,333
206,1192.jpg,"(500, 375)",JPEG,birds,500,375
207,1193.jpg,"(500, 368)",JPEG,birds,500,368
208,1194.jpg,"(500, 298)",JPEG,birds,500,298
209,1195.jpg,"(397, 500)",JPEG,birds,397,500
210,1196.jpg,"(500, 333)",JPEG,birds,500,333
211,1197.jpg,"(500, 426)",JPEG,birds,500,426
212,1198.jpg,"(500, 351)",JPEG,birds,500,351
213,1199.jpg,"(385, 500)",JPEG,birds,385,500
214,12.jpg,"(500, 375)",JPEG,birds,500,375
215,120.jpg,"(389, 500)",JPEG,birds,389,500
216,1200.jpg,"(480, 500)",JPEG,birds,480,500
217,1201.jpg,"(500, 334)",JPEG,birds,500,334
218,1202.jpg,"(500, 383)",JPEG,birds,500,383
219,1204.jpg,"(500, 375)",JPEG,birds,500,375
220,1205.jpg,"(500, 344)",JPEG,birds,500,344
221,1206.jpg,"(500, 400)",JPEG,birds,500,400
222,1207.jpg,"(435, 500)",JPEG,birds,435,500
223,1208.jpg,"(300, 278)",JPEG,birds,300,278
224,121.jpg,"(429, 330)",JPEG,birds,429,330
225,1210.jpg,"(500, 375)",JPEG,birds,500,375
226,1211.jpg,"(400, 500)",JPEG,birds,400,500
227,1212.jpg,"(366, 500)",JPEG,birds,366,500
228,1213.jpg,"(486, 500)",JPEG,birds,486,500
229,1214.jpg,"(332, 500)",JPEG,birds,332,500
230,1215.jpg,"(500, 318)",JPEG,birds,500,318
231,1216.jpg,"(500, 333)",JPEG,birds,500,333
232,1217.jpg,"(389, 300)",JPEG,birds,389,300
233,1218.jpg,"(500, 375)",JPEG,birds,500,375
234,1219.jpg,"(500, 342)",JPEG,birds,500,342
235,122.jpg,"(500, 375)",JPEG,birds,500,375
236,1220.jpg,"(500, 416)",JPEG,birds,500,416
237,1221.jpg,"(500, 295)",JPEG,birds,500,295
238,1222.jpg,"(500, 347)",JPEG,birds,500,347
239,1223.jpg,"(500, 338)",JPEG,birds,500,338
240,1224.jpg,"(333, 500)",JPEG,birds,333,500
241,1226.jpg,"(500, 335)",JPEG,birds,500,335
242,1227.jpg,"(500, 375)",JPEG,birds,500,375
243,1228.jpg,"(500, 384)",JPEG,birds,500,384
244,1229.jpg,"(430, 500)",JPEG,birds,430,500
245,123.jpg,"(389, 432)",JPEG,birds,389,432
246,1230.jpg,"(500, 375)",JPEG,birds,500,375
247,1231.jpg,"(375, 500)",JPEG,birds,375,500
248,1232.jpg,"(500, 375)",JPEG,birds,500,375
249,1233.jpg,"(431, 500)",JPEG,birds,431,500
250,1234.jpg,"(500, 427)",JPEG,birds,500,427
251,1235.jpg,"(500, 332)",JPEG,birds,500,332
252,1236.jpg,"(500, 333)",JPEG,birds,500,333
253,1237.jpg,"(500, 355)",JPEG,birds,500,355
254,1238.jpg,"(359, 500)",JPEG,birds,359,500
255,1239.jpg,"(500, 346)",JPEG,birds,500,346
256,124.jpg,"(500, 375)",JPEG,birds,500,375
257,1240.jpg,"(500, 339)",JPEG,birds,500,339
258,1241.jpg,"(500, 348)",JPEG,birds,500,348
259,1242.jpg,"(500, 374)",JPEG,birds,500,374
260,1244.jpg,"(500, 318)",JPEG,birds,500,318
261,1245.jpg,"(500, 333)",JPEG,birds,500,333
262,1246.jpg,"(400, 301)",JPEG,birds,400,301
263,1247.jpg,"(424, 500)",JPEG,birds,424,500
264,1248.jpg,"(250, 225)",JPEG,birds,250,225
265,1249.jpg,"(500, 375)",JPEG,birds,500,375
266,125.jpg,"(500, 375)",JPEG,birds,500,375
267,1250.jpg,"(500, 375)",JPEG,birds,500,375
268,1251.jpg,"(341, 500)",JPEG,birds,341,500
269,1252.jpg,"(430, 500)",JPEG,birds,430,500
270,1253.jpg,"(369, 500)",JPEG,birds,369,500
271,1254.jpg,"(500, 333)",JPEG,birds,500,333
272,1255.jpg,"(500, 332)",JPEG,birds,500,332
273,1256.jpg,"(400, 500)",JPEG,birds,400,500
274,1257.jpg,"(398, 500)",JPEG,birds,398,500
275,1258.jpg,"(500, 333)",JPEG,birds,500,333
276,1259.jpg,"(500, 333)",JPEG,birds,500,333
277,126.jpg,"(369, 500)",JPEG,birds,369,500
278,1260.jpg,"(250, 247)",JPEG,birds,250,247
279,1261.jpg,"(500, 333)",JPEG,birds,500,333
280,1262.jpg,"(500, 339)",JPEG,birds,500,339
281,1263.jpg,"(500, 333)",JPEG,birds,500,333
282,1264.jpg,"(500, 404)",JPEG,birds,500,404
283,1265.jpg,"(333, 500)",JPEG,birds,333,500
284,1266.jpg,"(500, 399)",JPEG,birds,500,399
285,1267.jpg,"(500, 333)",JPEG,birds,500,333
286,1268.jpg,"(439, 500)",JPEG,birds,439,500
287,1269.jpg,"(500, 354)",JPEG,birds,500,354
288,127.jpg,"(398, 500)",JPEG,birds,398,500
289,1270.jpg,"(500, 333)",JPEG,birds,500,333
290,1271.jpg,"(500, 375)",JPEG,birds,500,375
291,1272.jpg,"(500, 375)",JPEG,birds,500,375
292,1273.jpg,"(382, 500)",JPEG,birds,382,500
293,1274.jpg,"(481, 500)",JPEG,birds,481,500
294,1275.jpg,"(500, 333)",JPEG,birds,500,333
295,1276.jpg,"(500, 333)",JPEG,birds,500,333
296,1277.jpg,"(334, 500)",JPEG,birds,334,500
297,1278.jpg,"(500, 333)",JPEG,birds,500,333
298,1279.jpg,"(500, 401)",JPEG,birds,500,401
299,128.jpg,"(500, 333)",JPEG,birds,500,333
300,1280.jpg,"(265, 255)",JPEG,birds,265,255
301,1281.jpg,"(462, 500)",JPEG,birds,462,500
302,1282.jpg,"(500, 357)",JPEG,birds,500,357
303,1283.jpg,"(500, 383)",JPEG,birds,500,383
304,1284.jpg,"(500, 333)",JPEG,birds,500,333
305,1285.jpg,"(375, 500)",JPEG,birds,375,500
306,1286.jpg,"(400, 500)",JPEG,birds,400,500
307,1287.jpg,"(500, 334)",JPEG,birds,500,334
308,1288.jpg,"(500, 277)",JPEG,birds,500,277
309,1289.jpg,"(500, 396)",JPEG,birds,500,396
310,129.jpg,"(500, 333)",JPEG,birds,500,333
311,1290.jpg,"(500, 333)",JPEG,birds,500,333
312,1291.jpg,"(500, 333)",JPEG,birds,500,333
313,1292.jpg,"(400, 500)",JPEG,birds,400,500
314,1293.jpg,"(500, 333)",JPEG,birds,500,333
315,1294.jpg,"(500, 394)",JPEG,birds,500,394
316,1295.jpg,"(500, 337)",JPEG,birds,500,337
317,1296.jpg,"(500, 375)",JPEG,birds,500,375
318,1297.jpg,"(400, 500)",JPEG,birds,400,500
319,1298.jpg,"(500, 375)",JPEG,birds,500,375
320,1299.jpg,"(500, 376)",JPEG,birds,500,376
321,13.jpg,"(500, 401)",JPEG,birds,500,401
322,130.jpg,"(500, 355)",JPEG,birds,500,355
323,1300.jpg,"(500, 361)",JPEG,birds,500,361
324,1301.jpg,"(500, 375)",JPEG,birds,500,375
325,1302.jpg,"(415, 500)",JPEG,birds,415,500
326,1303.jpg,"(500, 391)",JPEG,birds,500,391
327,1304.jpg,"(375, 500)",JPEG,birds,375,500
328,1305.jpg,"(500, 335)",JPEG,birds,500,335
329,1306.jpg,"(500, 333)",JPEG,birds,500,333
330,1307.jpg,"(250, 166)",JPEG,birds,250,166
331,1308.jpg,"(500, 363)",JPEG,birds,500,363
332,1309.jpg,"(431, 500)",JPEG,birds,431,500
333,131.jpg,"(500, 375)",JPEG,birds,500,375
334,1310.jpg,"(500, 332)",JPEG,birds,500,332
335,1311.jpg,"(500, 375)",JPEG,birds,500,375
336,1312.jpg,"(407, 500)",JPEG,birds,407,500
337,1313.jpg,"(500, 313)",JPEG,birds,500,313
338,1314.jpg,"(500, 333)",JPEG,birds,500,333
339,1315.jpg,"(500, 331)",JPEG,birds,500,331
340,1316.jpg,"(500, 327)",JPEG,birds,500,327
341,1317.jpg,"(500, 394)",JPEG,birds,500,394
342,1318.jpg,"(500, 334)",JPEG,birds,500,334
343,1319.jpg,"(500, 333)",JPEG,birds,500,333
344,132.jpg,"(500, 483)",JPEG,birds,500,483
345,1321.jpg,"(180, 218)",JPEG,birds,180,218
346,1322.jpg,"(500, 440)",JPEG,birds,500,440
347,1323.jpg,"(500, 375)",JPEG,birds,500,375
348,1324.jpg,"(500, 375)",JPEG,birds,500,375
349,1325.jpg,"(343, 500)",JPEG,birds,343,500
350,1326.jpg,"(500, 424)",JPEG,birds,500,424
351,1328.jpg,"(473, 500)",JPEG,birds,473,500
352,1329.jpg,"(333, 500)",JPEG,birds,333,500
353,133.jpg,"(350, 350)",JPEG,birds,350,350
354,1330.jpg,"(500, 434)",JPEG,birds,500,434
355,1331.jpg,"(299, 450)",JPEG,birds,299,450
356,1332.jpg,"(400, 500)",JPEG,birds,400,500
357,1333.jpg,"(500, 333)",JPEG,birds,500,333
358,1334.jpg,"(500, 342)",JPEG,birds,500,342
359,1335.jpg,"(500, 396)",JPEG,birds,500,396
360,1336.jpg,"(170, 453)",JPEG,birds,170,453
361,1337.jpg,"(500, 500)",JPEG,birds,500,500
362,1338.jpg,"(500, 342)",JPEG,birds,500,342
363,1339.jpg,"(500, 334)",JPEG,birds,500,334
364,134.jpg,"(375, 500)",JPEG,birds,375,500
365,1340.jpg,"(500, 333)",JPEG,birds,500,333
366,1341.jpg,"(500, 375)",JPEG,birds,500,375
367,1342.jpg,"(500, 455)",JPEG,birds,500,455
368,1343.jpg,"(436, 500)",JPEG,birds,436,500
369,1344.jpg,"(500, 389)",JPEG,birds,500,389
370,1345.jpg,"(500, 333)",JPEG,birds,500,333
371,1346.jpg,"(500, 333)",JPEG,birds,500,333
372,1347.jpg,"(500, 356)",JPEG,birds,500,356
373,1348.jpg,"(500, 323)",JPEG,birds,500,323
374,1349.jpg,"(500, 490)",JPEG,birds,500,490
375,135.jpg,"(500, 500)",JPEG,birds,500,500
376,1350.jpg,"(500, 375)",JPEG,birds,500,375
377,1351.jpg,"(500, 430)",JPEG,birds,500,430
378,1352.jpg,"(333, 500)",JPEG,birds,333,500
379,1353.jpg,"(500, 344)",JPEG,birds,500,344
380,1354.jpg,"(271, 404)",JPEG,birds,271,404
381,1355.jpg,"(500, 375)",JPEG,birds,500,375
382,1356.jpg,"(500, 333)",JPEG,birds,500,333
383,1357.jpg,"(400, 274)",JPEG,birds,400,274
384,1359.jpg,"(500, 378)",JPEG,birds,500,378
385,136.jpg,"(500, 332)",JPEG,birds,500,332
386,1360.jpg,"(500, 341)",JPEG,birds,500,341
387,1361.jpg,"(500, 481)",JPEG,birds,500,481
388,1362.jpg,"(450, 500)",JPEG,birds,450,500
389,1363.jpg,"(500, 333)",JPEG,birds,500,333
390,1364.jpg,"(500, 315)",JPEG,birds,500,315
391,1365.jpg,"(500, 333)",JPEG,birds,500,333
392,1366.jpg,"(400, 500)",JPEG,birds,400,500
393,1367.jpg,"(381, 500)",JPEG,birds,381,500
394,1368.jpg,"(500, 351)",JPEG,birds,500,351
395,1369.jpg,"(500, 375)",JPEG,birds,500,375
396,137.jpg,"(500, 333)",JPEG,birds,500,333
397,1370.jpg,"(500, 375)",JPEG,birds,500,375
398,1371.jpg,"(500, 335)",JPEG,birds,500,335
399,1372.jpg,"(500, 400)",JPEG,birds,500,400
400,1373.jpg,"(333, 500)",JPEG,birds,333,500
401,1374.jpg,"(500, 333)",JPEG,birds,500,333
402,1375.jpg,"(500, 372)",JPEG,birds,500,372
403,1376.jpg,"(500, 333)",JPEG,birds,500,333
404,1377.jpg,"(500, 426)",JPEG,birds,500,426
405,1378.jpg,"(459, 500)",JPEG,birds,459,500
406,1379.jpg,"(500, 392)",JPEG,birds,500,392
407,138.jpg,"(500, 333)",JPEG,birds,500,333
408,1380.jpg,"(500, 333)",JPEG,birds,500,333
409,1381.jpg,"(500, 361)",JPEG,birds,500,361
410,1382.jpg,"(500, 334)",JPEG,birds,500,334
411,1383.jpg,"(391, 480)",JPEG,birds,391,480
412,1385.jpg,"(500, 375)",JPEG,birds,500,375
413,1386.jpg,"(500, 379)",JPEG,birds,500,379
414,1387.jpg,"(375, 500)",JPEG,birds,375,500
415,1388.jpg,"(500, 412)",JPEG,birds,500,412
416,1389.jpg,"(465, 500)",JPEG,birds,465,500
417,139.jpg,"(500, 338)",JPEG,birds,500,338
418,1390.jpg,"(500, 305)",JPEG,birds,500,305
419,1391.jpg,"(500, 333)",JPEG,birds,500,333
420,1392.jpg,"(480, 368)",JPEG,birds,480,368
421,1393.jpg,"(500, 349)",JPEG,birds,500,349
422,1395.jpg,"(500, 328)",JPEG,birds,500,328
423,1396.jpg,"(333, 500)",JPEG,birds,333,500
424,1397.jpg,"(500, 354)",JPEG,birds,500,354
425,1398.jpg,"(356, 500)",JPEG,birds,356,500
426,1399.jpg,"(500, 481)",JPEG,birds,500,481
427,1400.jpg,"(500, 333)",JPEG,birds,500,333
428,1401.jpg,"(500, 461)",JPEG,birds,500,461
429,1402.jpg,"(500, 400)",JPEG,birds,500,400
430,1403.jpg,"(500, 333)",JPEG,birds,500,333
431,1405.jpg,"(378, 500)",JPEG,birds,378,500
432,1406.jpg,"(500, 351)",JPEG,birds,500,351
433,1407.jpg,"(500, 332)",JPEG,birds,500,332
434,1408.jpg,"(410, 500)",JPEG,birds,410,500
435,1409.jpg,"(500, 333)",JPEG,birds,500,333
436,141.jpg,"(333, 500)",JPEG,birds,333,500
437,1410.jpg,"(500, 333)",JPEG,birds,500,333
438,1411.jpg,"(400, 500)",JPEG,birds,400,500
439,1412.jpg,"(357, 500)",JPEG,birds,357,500
440,1414.jpg,"(500, 375)",JPEG,birds,500,375
441,1415.jpg,"(500, 400)",JPEG,birds,500,400
442,1416.jpg,"(500, 364)",JPEG,birds,500,364
443,1417.jpg,"(500, 333)",JPEG,birds,500,333
444,1418.jpg,"(500, 343)",JPEG,birds,500,343
445,1419.jpg,"(500, 357)",JPEG,birds,500,357
446,142.jpg,"(500, 335)",JPEG,birds,500,335
447,1420.jpg,"(409, 500)",JPEG,birds,409,500
448,1421.jpg,"(500, 403)",JPEG,birds,500,403
449,1423.jpg,"(500, 500)",JPEG,birds,500,500
450,1424.jpg,"(500, 333)",JPEG,birds,500,333
451,1425.jpg,"(408, 272)",JPEG,birds,408,272
452,1426.jpg,"(300, 250)",JPEG,birds,300,250
453,1427.jpg,"(500, 339)",JPEG,birds,500,339
454,1428.jpg,"(500, 393)",JPEG,birds,500,393
455,1429.jpg,"(393, 500)",JPEG,birds,393,500
456,143.jpg,"(500, 357)",JPEG,birds,500,357
457,1430.jpg,"(500, 495)",JPEG,birds,500,495
458,1431.jpg,"(500, 396)",JPEG,birds,500,396
459,1432.jpg,"(500, 333)",JPEG,birds,500,333
460,1433.jpg,"(500, 321)",JPEG,birds,500,321
461,1435.jpg,"(333, 500)",JPEG,birds,333,500
462,1436.jpg,"(500, 346)",JPEG,birds,500,346
463,1437.jpg,"(500, 353)",JPEG,birds,500,353
464,1438.jpg,"(420, 280)",JPEG,birds,420,280
465,1439.jpg,"(362, 452)",JPEG,birds,362,452
466,144.jpg,"(500, 375)",JPEG,birds,500,375
467,1440.jpg,"(500, 375)",JPEG,birds,500,375
468,1441.jpg,"(500, 350)",JPEG,birds,500,350
469,1443.jpg,"(336, 500)",JPEG,birds,336,500
470,1444.jpg,"(500, 369)",JPEG,birds,500,369
471,1445.jpg,"(500, 375)",JPEG,birds,500,375
472,1446.jpg,"(500, 462)",JPEG,birds,500,462
473,1447.jpg,"(500, 406)",JPEG,birds,500,406
474,1448.jpg,"(500, 322)",JPEG,birds,500,322
475,1449.jpg,"(500, 400)",JPEG,birds,500,400
476,145.jpg,"(500, 333)",JPEG,birds,500,333
477,1450.jpg,"(500, 333)",JPEG,birds,500,333
478,1452.jpg,"(500, 333)",JPEG,birds,500,333
479,1453.jpg,"(396, 500)",JPEG,birds,396,500
480,1454.jpg,"(400, 300)",JPEG,birds,400,300
481,1455.jpg,"(500, 333)",JPEG,birds,500,333
